"Id","Category","Slug","Name","Original name","Production year","Episodes","Seasons","Duration","Description","Genres","Genres2","Genres3","Country","Age"
"0638f567-4ae2-4581-aa05-042c47e1a2af","1","o-chem-govoryat-frantsuzskie-muzhchiny","О чем говорят французские мужчины","О чем говорят французские мужчины","2012",,,,,"Комедия",,,,"16"
"063b9a95-c5bb-4484-af5d-f0f1c5f78842","1","patrul","Патруль","Patrol","2006",,,,,,"Триллер",,"1","16"
"063c53fe-f0e0-413b-a176-1a3924ab9d53","1","shpion-kotoryi-menya-kinul","Шпион, который меня кинул","The Spy Who Dumped Me","2018",,,,,"Комедия",,"Боевик","2","16"
"063fbc6d-0307-4ee2-b433-123a0a38d996","1","mashenkin-kontsert-389e49eb-cdd7-4a57-a293-17dc91c2b9a9","Машенькин концерт","Mashenka's concert","2001",,,,,,"Мультфильм",,"1","0"
"0640c7b6-f542-4ebf-8ec2-8b5acaca0a17","1","vchera","Вчера","Yesterday","2004",,,,,,"Драма",,"2","16"
"0643a091-d7bb-43ec-b1f7-e8b56ded23b8","1","esli-by-kamni-govorili","Если бы камни говорили","If the stones could talk","1957",,,,,,"Драма",,"1","12"
"064441f2-cf4d-4337-94aa-08752fc975e6","1","potselui-skvoz-stenu","Поцелуй сквозь стену","Kiss through the Wall","2010",,,,,"Мелодрама","Фантастика","Комедия",,"16"
"064e1fb9-b0b0-484d-954c-0134bd1bbe12","1","krik-4","Крик 4","Scream 4","2011",,,,,,"Детектив","Ужасы","2","18"
"0653598e-2471-4740-babf-4d774216c2db","1","nasmotrevshis-detektivov","Насмотревшись детективов","Насмотревшись детективов","2007",,,,,"Комедия","Мелодрама",,,"12"
"065c7196-bb4f-4d9b-9695-feb30f629ff9","1","utyonok-kotoryi-ne-umel-igrat-v-futbol","Утёнок, который не умел играть в футбол",,"1972",,,,,,,"Мультфильм","1","12"
"0662a113-9bbc-4987-8562-d79679f83a82","1","4321","4.3.2.1","4.3.2.1","2010",,,,,"Комедия","Триллер","Криминал",,"16"
"0666a8fd-badf-4796-ae34-9d85ecb9b602","1","voin","Воин","Warrior","2011",,,,,"Драма",,"Спорт","2","16"
"0667f7a2-5d85-441e-85a2-e90d949f6eff","1","plan-ogrableniya","План ограбления","Blue Line","2016",,,,,"Боевик","Триллер",,"2","18"
"066f363b-af38-4569-a50f-360aa4807104","1","sharik-fonarik-ab55629b-cb86-4c29-8613-d9a8a580654d","Шарик-фонарик",,"1980",,,,,,,"Мультфильм","1","0"
